website,Belligerents,Commanders and leaders,Strength,Strength,Casualties and losses,ParsedCasu,ParsedCountry,combined.cas,kia.numbers,casulties.numbers,wound.numbers,pow.numbers,mia.numbers,website1,begin.date,end.date,new.casult
http://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,Belgium,GÕ©rard Lemanë_(POW),"36,000 troops & 252 guns",36000,"6,000_Ñ_20,000 casualties
including 4,000 captured",0,Belgium,"6,000_Ñ_20,000 casualties
including 4,000 captured",NA,20000,NA,4000,0,http://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,8/5/14,8/16/14,20000
http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,Belgium Franceë_United Kingdom,King Albert I Joseph Joffre John French,"1,250,000 117,000 70,000",117000,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",0,Belgium,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",NA,4500,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,8/7/14,9/13/14,4500
http://en.wikipedia.org/wiki/Battle_of_the_Yser,"Belgium FranceNaval support:
 United Kingdom",King Albert I Õ_mile Dossin Augustin Michel Alphonse Jacques Pierre Ronarc'h Paul Grossetti Horace Hood,"Belgium: 65,000 men(4 infantry divisions,
2 reserve divisions)France:ë_?(1 infantry division,
1 brigade of Fusiliers marins)",45000,"Belgium: 40,000
France: 15,000","Belgium: 40,000
F",Belgium,"Belgium: 40,000
F",NA,40000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Yser,10/16/14,10/31/14,40000
http://en.wikipedia.org/wiki/First_Battle_of_Ypres,Franceë_Belgium United Kingdom,Joseph Joffre Ferdinand Foch Albert I of Belgium John French,"France: 3,989,103Belgium: c. 247,000United Kingdom: 163,897
Total: 4,400,000",247000,"France: c._Ñ_85,000UK: 56,000[Notes 1]Belgium: 22,000","Belgium: 22,000",Belgium,"Belgium: 22,000",NA,22000,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Ypres,10/19/14,11/22/14,22000
http://en.wikipedia.org/wiki/Siege_of_Namur_(1914),Belgium France,Augustin Michel,"35,000","35,000","c._Ñ_15,000
(including 6,700 taken prisoner)",0,Belgium,"c._Ñ_15,000
(including 6,700 taken prisoner)",NA,15000,NA,6700,0,http://en.wikipedia.org/wiki/Siege_of_Namur_(1914),8/20/14,8/25/14,15000
http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,Belgium Franceë_United Kingdom,King Albert I Joseph Joffre John French,"1,250,000 117,000 70,000",70000,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",0,England,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",NA,29597,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,8/7/14,9/13/14,29597
http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,France United Kingdom,Joseph Joffre Michel-Joseph Maunoury Joseph Gallieni Sir John French Franchet d'EspÕŒrey Ferdinand Foch Fernand de Langle de Cary,"1,071,000
39 French divisions
6 British divisions",140000,"263,000 (81,700 killed)",0,England,"263,000 (81,700 killed)",NA,35066.66667,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,9/5/14,9/12/14,35066.66667
http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne,United Kingdom France,John French Louis Franchet d'Esperey Michel-Joseph Maunoury Joseph Joffre,BEF Fifth Army Sixth Army,NA,"13,541 killed or wounded Unknown",0,England,"13,541 killed or wounded Unknown",NA,13541,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne,9/13/14,9/28/14,13541
http://en.wikipedia.org/wiki/First_Battle_of_Ypres,Franceë_Belgium United Kingdom,Joseph Joffre Ferdinand Foch Albert I of Belgium John French,"France: 3,989,103Belgium: c. 247,000United Kingdom: 163,897
Total: 4,400,000",164000,"France: c._Ñ_85,000UK: 56,000[Notes 1]Belgium: 22,000","France: c._Ñ_85,000UK: 56,000[Notes 1]B",England,"France: c._Ñ_85,000UK: 56,000[Notes 1]B",NA,56000,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Ypres,10/19/14,11/22/14,0
http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,Belgium Franceë_United Kingdom,King Albert I Joseph Joffre John French,"1,250,000 117,000 70,000",1250000,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",0,France,": 329,000 (6 August_Ñ_5 September): 29,597 (August_Ñ_September): 6,500",NA,329000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,8/7/14,9/13/14,329000
